ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOCFPO23N000000084,시니어,문화시설,초가마을전통찻집,44,충청남도,44770,서천군,4477025030,원수리,447703260029,충청남도 서천군 장항읍 장산로 590-5,충청남도 서천군 장항읍 원수리 141-10 자연산활어회센타,"590-5 Jangsan-ro, Janghang-eup, Seocheon-gun, Chungcheongnam-do",4477025030,자연산활어회센타,4477025030101410000000000,,33677,-,36.00103548,126.722684,공공데이터,-,20231231,20231231
KCOCFPO23N000000085,시니어,문화시설,서울전통찻집,41,경기도,41610,광주시,4161025921,곤지암리,416104433064,경기도 광주시 곤지암읍 곤지암로50번길 11,경기도 광주시 곤지암읍 곤지암리 441-2,"11 Gonjiam-ro 50beon-gil, Gonjiam-eup, Gwangju-si, Gyeonggi-do",4161025921,,4161025621104410000000000,,12804,-,37.34982818,127.3401293,공공데이터,-,20231231,20231231
KCOCFPO23N000000086,시니어,문화시설,7080전통찻집식당,41,경기도,41500,이천시,4150010300,중리동,415003207044,경기도 이천시 이섭대천로 1200 (중리동),경기도 이천시 중리동 219 종합버스터미널,"1200 Iseopdaecheon-ro, Icheon-si, Gyeonggi-do",4150010300,종합버스터미널,4150010300102190000000000,,17373,-,37.27680172,127.4469994,공공데이터,-,20231231,20231231
KCOCFPO23N000000087,시니어,문화시설,인사동전통찻집,44,충청남도,44131,천안시 동남구,4413110900,청수동,441314547796,충청남도 천안시 동남구 청수15길 10 (청수동),충청남도 천안시 동남구 청수동 286,"10 Cheongsu 15-gil, Dongnam-gu, Cheonan-si, Chungcheongnam-do",4413110900,,4413110900102860000000000,,31198,-,36.78721683,127.1518252,공공데이터,-,20231231,20231231
KCOCFPO23N000000088,시니어,문화시설,전통찻집둥지,52,전북특별자치도,52800,부안군,4580036022,격포리,528003280037,전북특별자치도 부안군 변산면 변산해변로 12,전북특별자치도 부안군 변산면 격포리 272-102 새전주횟집,"12 Byeonsanhaebyeon-ro, Byeonsan-myeon, Buan-gun, Jeonbuk-do",5280036022,새전주횟집,4580036022102720000000000,,56337,-,35.62821909,126.4720575,공공데이터,-,20231231,20231231
KCOCFPO23N000000089,시니어,문화시설,방다원전통찻집,48,경상남도,48170,진주시,4817012200,초전동,481703332021,경상남도 진주시 말티고개로 33 (초전동),경상남도 진주시 초전동 1493-6,"33 Maltigogae-ro, Jinju-si, Gyeongsangnam-do",4817012200,,4817012200114930000000000,,52737,-,35.20024947,128.106304,공공데이터,-,20231231,20231231
KCOCFPO23N000000090,시니어,문화시설,연전통찻집,26,부산광역시,26170,동구,2617010100,초량동,261703127045,부산광역시 동구 초량로 9-1 (초량동),부산광역시 동구 초량동 197-21,"9-1 Choryang-ro, Dong-gu, Busan",2617010100,,2617010100101970000000000,,48815,-,35.11869578,129.040408,공공데이터,-,20231231,20231231
KCOCFPO23N000000091,시니어,문화시설,거기전통찻집,43,충청북도,43760,괴산군,4376033025,원풍리,437603000165,충청북도 괴산군 연풍면 새재로 1860,충청북도 괴산군 연풍면 원풍리 20-2 마방터민박,"1860 Saejae-ro, Yeonpung-myeon, Goesan-gun, Chungcheongbuk-do",4376033025,마방터민박,4376033025100200000000000,,28012,-,36.8144436,128.0367454,공공데이터,-,20231231,20231231
KCOCFPO23N000000092,시니어,문화시설,성보박물관전통찻집,52,전북특별자치도,52730,무주군,4573033028,괴목리,527303275060,전북특별자치도 무주군 적상면 산성로 1050,전북특별자치도 무주군 적상면 괴목리 1602-1 안국사,"1050 Sanseong-ro, Jeoksang-myeon, Muju-gun, Jeonbuk-do",5273033028,안국사,4573033028101840000000000,,55528,-,35.94481836,127.6915319,공공데이터,-,20231231,20231231
KCOCFPO23N000000093,시니어,문화시설,낙원전통찻집,31,울산광역시,31110,중구,3111011100,태화동,311104857839,울산광역시 중구 태화강국가정원길 99-1 (태화동),울산광역시 중구 태화동 770-10,"99-1 Taehwaganggukgajeongwon-gil, Jung-gu, Ulsan",3111011100,,3111011100107700000000000,,44438,-,35.55219366,129.2863332,공공데이터,-,20231231,20231231
KCOCFPO23N000000094,시니어,문화시설,다래전통찻집,41,경기도,41550,안성시,4155012000,금석동,415504424104,경기도 안성시 금석길 95-7 (금석동),경기도 안성시 금석동 209-20,"95-7 Geumseok-gil, Anseong-si, Gyeonggi-do",4155012000,,4155012000102090000000000,,17539,-,37.03234637,127.2670711,공공데이터,-,20231231,20231231
KCOCFPO23N000000095,시니어,문화시설,독산성전통찻집,41,경기도,41370,오산시,4137011400,지곶동,413704394141,경기도 오산시 지곶길 18-9 (지곶동),경기도 오산시 지곶동 300-4,"18-9 Jigot-gil, Osan-si, Gyeonggi-do",4137011400,,4137011400103000000000000,,18102,-,37.17770529,127.0211524,공공데이터,-,20231231,20231231
KCOCFPO23N000000096,시니어,문화시설,장미전통찻집,48,경상남도,48270,밀양시,4827010100,내일동,482704808497,경상남도 밀양시 상설시장3길 15-2 (내일동),경상남도 밀양시 내일동 396,"15-2 Sangseolsijang 3-gil, Miryang-si, Gyeongsangnam-do",4827010100,,4827010100103960000000000,,50430,-,35.49388817,128.7528575,공공데이터,-,20231231,20231231
KCOCFPO23N000000097,시니어,문화시설,황금농원전통찻집다정원,48,경상남도,48170,진주시,4817041023,갈전리,481704796981,경상남도 진주시 금산면 월아산로1440번길 104-15,경상남도 진주시 금산면 갈전리 188,"104-15 Worasan-ro 1440beon-gil, Geumsan-myeon, Jinju-si, Gyeongsangnam-do",4817041023,,4817041023101630000000000,,52850,-,35.18810284,128.1766025,공공데이터,-,20231231,20231231
KCOCFPO23N000000098,시니어,문화시설,예전전통찻집,48,경상남도,48125,창원시 마산합포구,4812511900,상남동,481253330034,경상남도 창원시 마산합포구 북성로 59 (상남동),경상남도 창원시 마산합포구 상남동 85-5,"59 Bukseong-ro, Masanhappo-gu, Changwon-si, Gyeongsangnam-do",4812511900,,4812511900100850000000000,,51274,-,35.21262217,128.5713833,공공데이터,-,20231231,20231231
KCOCFPO23N000000099,시니어,문화시설,전통찻집,48,경상남도,48850,하동군,4885040021,평촌리,488503344017,경상남도 하동군 청암면 청학로 679-12,경상남도 하동군 청암면 평촌리 606 지리산산장,"679-12 Cheonghak-ro, Cheongam-myeon, Hadong-gun, Gyeongsangnam-do",4885040021,지리산산장,4885040021106060000000000,,52310,-,35.15630257,127.7982158,공공데이터,-,20231231,20231231
