ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADIT_DC
KCOCFPO23N000000198,문화시설,전통찻집담소,서울특별시,마포구,서울특별시 마포구 월드컵북로 396 (상암동),서울특별시 마포구 상암동 1605 누리꿈스퀘어,-
KCOCFPO23N000000215,문화시설,박수진전통찻집,서울특별시,영등포구,서울특별시 영등포구 국회대로68길 11 (여의도동),서울특별시 영등포구 여의도동 14-24 삼보호정빌딩,-
KCOCFPO23N000000221,문화시설,백년전통찻집,서울특별시,강북구,서울특별시 강북구 한천로 1130 (수유동),서울특별시 강북구 수유동 254-27,-
KCOCFPO23N000000228,문화시설,전통찻집,서울특별시,중구,서울특별시 중구 마른내로2길 19 (초동),서울특별시 중구 초동 54,-
KCOCFPO23N000000240,문화시설,궁전전통찻집,서울특별시,은평구,"서울특별시 은평구 불광로 25-1 (대조동, 디와이빌)",서울특별시 은평구 대조동 9-12 디와이빌,-
KCOCFPO23N000000248,문화시설,다향전통찻집,서울특별시,서대문구,서울특별시 서대문구 연희맛로 34 (연희동),서울특별시 서대문구 연희동 137-13 남강빌딩,-
KCOCFPO23N000000261,문화시설,대현동전통찻집,서울특별시,서대문구,서울특별시 서대문구 신촌역로 16 (대현동),서울특별시 서대문구 대현동 27-20 신촌가이아,-
KCOCFPO23N000000057,문화시설,삼경사,서울,영등포구,서울특별시 영등포구 대림로 181,서울 영등포구 대림동 739-4,할인적용최소연령 : 65
KCOCFPO23N000000060,문화시설,남대문 안경마을,서울,영등포구,서울특별시 영등포구 대림로35길 1,서울 영등포구 대림동 740-1,할인적용최소연령 : 65
KCOCFPO23N000000081,문화시설,대림 의료기,서울,영등포구,서울특별시 영등포구 시흥대로187길 12,서울 영등포구 대림동 946-1,할인적용최소연령 : 65
KCOCFPO23N000000164,문화시설,란안경원,서울,광진구,서울특별시 광진구 아차산로 387,서울 광진구 구의동 246-43,할인적용최소연령 : 65
KCOCFPO23N000000165,문화시설,자연스튜디오,서울,광진구,서울특별시 광진구 자양로 116,서울 광진구 구의동 252-16,할인적용최소연령 : 65
KCOCFPO23N000000198,문화시설,방배건강원,서울,서초구,서울특별시 서초구 방배로10길 10-25,서울 서초구 방배동 983-23,할인적용최소연령 : 65
KCOCFPO23N000000206,문화시설,건강대중탕,서울,광진구,서울특별시 광진구 뚝섬로 585,서울 광진구 자양동 520-9,할인적용최소연령 : 65
KCOCFPO23N000000226,문화시설,우리유황온천,서울,광진구,서울특별시 광진구 자양로5길 33,서울 광진구 자양동 663-21,할인적용최소연령 : 65
KCOCFPO23N000000239,문화시설,귀빈세탁소,서울,광진구,서울특별시 광진구 아차산로36길 39,서울 광진구 자양동 783-1,할인적용최소연령 : 65
KCOCFPO23N000000241,문화시설,비취보석대중탕,서울,광진구,서울특별시 광진구 뚝섬로 552,서울 광진구 자양동 553-501,할인적용최소연령 : 65
KCOCFPO23N000000275,문화시설,명문공인중개사사무소,서울,영등포구,서울특별시 영등포구 가마산로79길 7,서울 영등포구 신길동 4934,할인적용최소연령 : 65
KCOCFPO23N000000284,문화시설,나라보청기상사,서울,영등포구,서울특별시 영등포구 신길로 119,서울 영등포구 신길동 4937,할인적용최소연령 : 65
KCOCFPO23N000000289,문화시설,팔자보백숙,서울,성동구,서울특별시 성동구 용답중앙25길 11,서울 성동구 용답동 10-3,할인적용최소연령 : 70
KCOCFPO23N000000292,문화시설,봉평골 메밀막국수,서울,성동구,서울특별시 성동구 고산자로 284,서울 성동구 행당동 192-29,할인적용최소연령 : 70
KCOCFPO23N000000295,문화시설,씨제이푸드빌㈜ 빕스 왕십리점,서울,성동구,서울특별시 성동구 왕십리광장로 17,서울 성동구 행당동 168-151,할인적용최소연령 : 70
KCOCFPO23N000000296,문화시설,황금가든,서울,성동구,서울특별시 성동구 행당로8길 8-1,서울 성동구 행당동 375-2,할인적용최소연령 : 70
KCOCFPO23N000000298,문화시설,시온반점,서울,성동구,"서울특별시 성동구 왕십리로19길 18, 1층 (행당동)",서울 성동구 행당동 130-69,할인적용최소연령 : 70
KCOCFPO23N000000987,문화시설,동보성,서울,성동구,서울특별시 성동구 한림말길 31,서울 성동구 옥수동 250-7,할인적용최소연령 : 70
KCOCFPO23N000001014,문화시설,행복한고기집,서울,성동구,서울특별시 성동구 상원10다길 26,서울 성동구 성수동1가 708,할인적용최소연령 : 70
KCOCFPO23N000001017,문화시설,오즈카페,서울,성동구,서울특별시 성동구 왕십리로 63,서울 성동구 성수동1가 685-704,할인적용최소연령 : 70
KCOCFPO23N000001018,문화시설,브리너,서울,성동구,서울특별시 성동구 왕십리로 63 언더스탠드애비뉴 브리너 (성수동1가),서울 성동구 성수동1가 685-701,할인적용최소연령 : 70
KCOCFPO23N000001025,문화시설,예손가,서울,성동구,서울특별시 성동구 동일로 143,서울 성동구 성수동2가 279-50,할인적용최소연령 : 70
KCOCFPO23N000001046,문화시설,진헤어샵,서울,성동구,서울특별시 성동구 성덕정길 71,서울 성동구 성수동1가 289,할인적용최소연령 : 70
KCOCFPO23N000001123,문화시설,방문자헤어아트,서울,성동구,서울특별시 성동구 고산자로8길 24,서울 성동구 행당동 117-10,할인적용최소연령 : 70
KCOCFPO23N000001125,문화시설,성수사우나,서울,성동구,서울특별시 성동구 왕십리로 88,서울 성동구 성수동1가 656-950,할인적용최소연령 : 70
KCOCFPO23N000001126,문화시설,수주머리나라,서울,성동구,서울특별시 성동구 광나루로11길 9-1,서울 성동구 송정동 66-85,할인적용최소연령 : 70
KCOCFPO23N000001127,문화시설,시크헤어,서울,성동구,서울특별시 성동구 용답15가길 17,서울 성동구 용답동 50-17,할인적용최소연령 : 70
KCOCFPO23N000001128,문화시설,신세대이용,서울,성동구,서울특별시 성동구 금호산2길 22-1,서울 성동구 금호동3가 399-3,할인적용최소연령 : 70
KCOCFPO23N000001129,문화시설,씨티헤어샵,서울,성동구,서울특별시 성동구 성수이로 137,서울 성동구 성수동2가 834,할인적용최소연령 : 70
