ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOWRPO23N000013224,자연_공원,볏골,서울특별시,강서구,서울특별시 강서구 까치산로4길 22 (화곡동),서울특별시 강서구 화곡동 98-99 볏골공원 지하주차장
KCOWRPO23N000013225,자연_공원,구름,서울특별시,강서구,서울특별시 강서구 초록마을로4길 32-1 (화곡동),서울특별시 강서구 화곡동 98-22 공중화장실
KCOWRPO23N000013233,자연_공원,능안,서울특별시,강서구,서울특별시 강서구 등촌로39마길 3 (등촌동),서울특별시 강서구 등촌동 517-1 능안경로당
KCOWRPO23N000013236,자연_공원,백석,서울특별시,강서구,서울특별시 강서구 공항대로57길 31 (등촌동),서울특별시 강서구 등촌동 646-41 공중화장실
KCOWRPO23N000013237,자연_공원,등서,서울특별시,강서구,서울특별시 강서구 화곡로68길 8 (등촌동),서울특별시 강서구 등촌동 639-2 등서경로당
KCOWRPO23N000013240,자연_공원,이수,서울특별시,강서구,서울특별시 강서구 공항대로75길 27 (염창동),서울특별시 강서구 염창동 281-3 공중화장실
KCOWRPO23N000013508,자연_공원,무지개,서울특별시,성동구,서울특별시 성동구 성수이로7길 27 (성수동2가),서울특별시 성동구 성수동2가 333-140 서울숲코오롱디지탈타워
KCOWRPO23N000013509,자연_공원,보람,서울특별시,성동구,서울특별시 성동구 마장로 255 (마장동),서울특별시 성동구 마장동 498-2 카드랜드
KCOWRPO23N000013510,자연_공원,상원,서울특별시,성동구,서울특별시 성동구 상원길 39 (성수동1가),서울특별시 성동구 성수동1가 715 중앙하이츠빌
KCOWRPO23N000013511,자연_공원,응삼,서울특별시,성동구,"서울특별시 성동구 고산자로 160 (응봉동, 대림 강변 타운)",서울특별시 성동구 응봉동 15 대림 강변 타운
KCOWRPO23N000013512,자연_공원,미소,서울특별시,성동구,서울특별시 성동구 난계로 95 (하왕십리동),서울특별시 성동구 하왕십리동 1054
KCOWRPO23N000013513,자연_공원,송정,서울특별시,성동구,서울특별시 성동구 동일로 263-49 (송정동),서울특별시 성동구 송정동 88-13
KCOWRPO23N000013514,자연_공원,서마장,서울특별시,성동구,서울특별시 성동구 청계천로10가길 102 (마장동),서울특별시 성동구 마장동 470-1 희운빌딩
KCOWRPO23N000013515,자연_공원,응봉개나리,서울특별시,성동구,서울특별시 성동구 독서당로62가길 62 (응봉동),서울특별시 성동구 응봉동 274
KCOWRPO23N000013516,자연_공원,열림,서울특별시,성동구,서울특별시 성동구 성수이로12길 14 (성수동2가),서울특별시 성동구 성수동2가 327-2
KCOWRPO23N000013517,자연_공원,아남,서울특별시,성동구,서울특별시 성동구 아차산로15길 52 (성수동2가),서울특별시 성동구 성수동2가 280-13 삼환디지털벤처타워
KCOWRPO23N000013519,자연_공원,성삼,서울특별시,성동구,서울특별시 성동구 성수이로18길 31 (성수동2가),서울특별시 성동구 성수동2가 273-10 풍림테크원
KCOWRPO23N000013520,자연_공원,마장,서울특별시,성동구,서울특별시 성동구 마조로 51-2 (마장동),서울특별시 성동구 마장동 399-12
KCOWRPO23N000013524,자연_공원,성원,서울특별시,성동구,서울특별시 성동구 상원10길 21 (성수동1가),서울특별시 성동구 성수동1가 13-21 구립성원노인정
KCOWRPO23N000013525,자연_공원,성수,서울특별시,성동구,서울특별시 성동구 연무장3길 14 (성수동2가),서울특별시 성동구 성수동2가 302-24
KCOWRPO23N000013526,자연_공원,용답휴식,서울특별시,성동구,서울특별시 성동구 천호대로 232 (용답동),서울특별시 성동구 용답동 129-2 신답역
KCOWRPO23N000013561,자연_공원,산새,서울특별시,강서구,서울특별시 강서구 곰달래로59길 52 (화곡동),서울특별시 강서구 화곡동 772-83
KCOWRPO23N000013563,자연_공원,꿈돌이,서울특별시,강서구,서울특별시 강서구 화곡로 234 (화곡동),서울특별시 강서구 화곡동 24-128 공중화장실
KCOWRPO23N000013623,자연_공원,새빛,서울특별시,관악구,서울특별시 관악구 신사로10길 29 (신림동),서울특별시 관악구 신림동 501-30 새빛어린이집
KCOWRPO23N000013628,자연_공원,새싹,서울특별시,관악구,서울특별시 관악구 양녕로6다길 11-4 (봉천동),서울특별시 관악구 봉천동 1512-9 장수경로당
KCOWRPO23N000013629,자연_공원,중앙,서울특별시,관악구,서울특별시 관악구 봉천로41길 35 (봉천동),서울특별시 관악구 봉천동 890-1 중앙어린이집
KCOWRPO23N000013631,자연_공원,선봉,서울특별시,관악구,서울특별시 관악구 봉천로27길 20 (봉천동),서울특별시 관악구 봉천동 942-29 구립선봉어린이집
KCOWRPO23N000013633,자연_공원,문성,서울특별시,관악구,서울특별시 관악구 시흥대로164길 27 (신림동),서울특별시 관악구 신림동 1661-15 구립문성어린이집
KCOWRPO23N000013635,자연_공원,탑골,서울특별시,관악구,서울특별시 관악구 낙성대역6길 20 (봉천동),서울특별시 관악구 봉천동 1510-10
KCOWRPO23N000013641,자연_공원,밤골,서울특별시,관악구,서울특별시 관악구 인헌3가길 8 (봉천동),서울특별시 관악구 봉천동 1642-4 밤골경로당
KCOWRPO23N000013642,자연_공원,모래내,서울특별시,관악구,서울특별시 관악구 관악로12길 55 (봉천동),서울특별시 관악구 봉천동 1613-19
KCOWRPO23N000013643,자연_공원,까치,서울특별시,관악구,"서울특별시 관악구 행운4길 15 (봉천동, 그랜져빌라2차)",서울특별시 관악구 봉천동 1677-8 그랜져빌라2차
KCOWRPO23N000013645,자연_공원,일선,서울특별시,관악구,서울특별시 관악구 쑥고개로26길 24 (봉천동),서울특별시 관악구 봉천동 1587-7 일선경로당
KCOWRPO23N000013662,자연_공원,무궁화,서울특별시,양천구,서울특별시 양천구 목동중앙남로 97 (목동),서울특별시 양천구 목동 712-1 구립나말노인정
KCOWRPO23N000013663,자연_공원,백석,서울특별시,양천구,서울특별시 양천구 목동중앙북로8길 76 (목동),서울특별시 양천구 목동 646-23 노인정
KCOWRPO23N000013664,자연_공원,한두,서울특별시,양천구,서울특별시 양천구 목동중앙북로7가길 37 (목동),서울특별시 양천구 목동 611-1 구립한두노인정
KCOWRPO23N000013665,자연_공원,달마을,서울특별시,양천구,서울특별시 양천구 목동중앙본로 73 (목동),서울특별시 양천구 목동 946-1 목동문화체육센터
KCOWRPO23N000013667,자연_공원,용왕산,서울특별시,양천구,서울특별시 양천구 목동중앙로9길 40 (목동),서울특별시 양천구 목동 199-51 주민쉼터
KCOWRPO23N000013669,자연_공원,오목,서울특별시,양천구,서울특별시 양천구 목동동로 233-6 (목동),서울특별시 양천구 목동 921 오목공원 회랑
KCOWRPO23N000013705,자연_공원,상도,서울특별시,동작구,서울특별시 동작구 성대로6사길 27-18 (상도동),서울특별시 동작구 상도동 산75-1
KCOWRPO23N000013775,자연_공원,새록어린이공원,서울특별시,은평구,서울특별시 은평구 은평로13길 35 (녹번동),서울특별시 은평구 녹번동 158-1 새록공원
KCOWRPO23N000013902,자연_공원,양천리누리터 어린이공원,서울특별시,은평구,서울특별시 은평구 통일로 668 (녹번동),서울특별시 은평구 녹번동 281-4 양천누리터 공중화장실
KCOWRPO23N000013903,자연_공원,연신어린이공원,서울특별시,은평구,서울특별시 은평구 연서로32길 11-4 (불광동),서울특별시 은평구 불광동 339-73
KCOWRPO23N000013915,자연_공원,새벽,서울특별시,동작구,"서울특별시 동작구 상도로13길 11 (상도동, 벧엘하이빌)",서울특별시 동작구 상도동 335-102 벧엘하이빌
KCOWRPO23N000013922,자연_공원,노루,서울특별시,동작구,서울특별시 동작구 사당로20나길 25 (사당동),서울특별시 동작구 사당동 316-23
KCOWRPO23N000013925,자연_공원,까치산,서울특별시,동작구,서울특별시 동작구 현충로 55 (흑석동),서울특별시 동작구 흑석동 141-2 효사정
KCOWRPO23N000013926,자연_공원,까치,서울특별시,동작구,서울특별시 동작구 동작대로9길 35 (사당동),서울특별시 동작구 사당동 1028-1 동작 어린이 영어놀이터
KCOWRPO23N000013927,자연_공원,삼일,서울특별시,동작구,서울특별시 동작구 솔밭로 45-5 (사당동),서울특별시 동작구 사당동 산32-85 서울환경지킴이
KCOWRPO23N000013931,자연_공원,사육신,서울특별시,동작구,서울특별시 동작구 노량진로 191 (노량진동),서울특별시 동작구 노량진동 152-3 사육신묘지공원
KCOWRPO23N000013932,자연_공원,현충,서울특별시,동작구,서울특별시 동작구 사당로23길 57-7 (사당동),서울특별시 동작구 사당동 산24-17 사당 청소년 문화의 집
KCOWRPO23N000014063,자연_공원,파랑새,서울특별시,서초구,서울특별시 서초구 신반포로15길 28 (반포동),서울특별시 서초구 반포동 4-2 반포2동경로당
KCOWRPO23N000014078,자연_공원,효자,서울특별시,서초구,서울특별시 서초구 바우뫼로7길 84 (우면동),서울특별시 서초구 우면동 55 암산노인정
KCOWRPO23N000014104,자연_공원,구룡,서울특별시,서초구,서울특별시 서초구 논현로5길 29 (양재동),서울특별시 서초구 양재동 399 구룡공원 공영주차장
KCOWRPO23N000014105,자연_공원,동산,서울특별시,서초구,서울특별시 서초구 동산로12길 8 (양재동),서울특별시 서초구 양재동 376-3 동산마을구립노인정
KCOWRPO23N000014224,자연_공원,하왕1-5구역,서울특별시,성동구,서울특별시 성동구 무학봉길 1 (하왕십리동),서울특별시 성동구 하왕십리동 1071-1 왕도교회
KCOWRPO23N000014225,자연_공원,트리마제,서울특별시,성동구,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",서울특별시 성동구 성수동1가 718 트리마제
KCOWRPO23N000014226,자연_공원,직녀,서울특별시,성동구,서울특별시 성동구 마장로 164 (하왕십리동),서울특별시 성동구 하왕십리동 1070-5 기독교대한감리회 꽃재교회
KCOWRPO23N000014227,자연_공원,견우,서울특별시,성동구,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)",서울특별시 성동구 하왕십리동 1070 센트라스
KCOWRPO23N000014228,자연_공원,푸른,서울특별시,성동구,서울특별시 성동구 금호로1길 38 (금호동4가),서울특별시 성동구 금호동4가 235-2 대한예수교장로회 새행복교회
