ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000578,문화시설_교육_시니어,한국자격평생교육원,서울특별시,종로구,서울특별시 종로구 혜화로3길 19 (명륜2가),서울특별시 종로구 명륜2가 4 아남아파트
KCOEFPO23N000000579,문화시설_교육_시니어,한국학점평생교육원,서울특별시,서초구,서울특별시 서초구 신반포로 325 (잠원동),서울특별시 서초구 잠원동 40-7 반포빌딩
KCOEFPO23N000000581,문화시설_교육_시니어,한울원격평생교육원,서울특별시,서초구,서울특별시 서초구 서초대로73길 12 (서초동),서울특별시 서초구 서초동 1317-31 세계빌딩
KCOEFPO23N000000584,문화시설_교육_시니어,해밀원격평생교육원,서울특별시,동대문구,서울특별시 동대문구 왕산로 122 (용두동),서울특별시 동대문구 용두동 788 한방천하 용두동 포스빌
KCOEFPO23N000000590,문화시설_교육_시니어,KAA평생교육원,서울특별시,성동구,서울특별시 성동구 자동차시장1길 70 (용답동),서울특별시 성동구 용답동 234 장안평중고자동차시장
KCOEFPO23N000000591,문화시설_교육_시니어,KVA평생교육원,서울특별시,강남구,서울특별시 강남구 논현로 543 (역삼동),서울특별시 강남구 역삼동 607-20
KCOEFPO23N000000592,문화시설_교육_시니어,굿모닝평생교육원,서울특별시,관악구,서울특별시 관악구 남부순환로 1750 (봉천동),서울특별시 관악구 봉천동 922-2
KCOEFPO23N000000595,문화시설_교육_시니어,글로벌평생교육원,서울특별시,중랑구,서울특별시 중랑구 동일로 806 (중화동),서울특별시 중랑구 중화동 285-6
KCOEFPO23N000000596,문화시설_교육_시니어,글로벌평생교육원,서울특별시,강북구,서울특별시 강북구 덕릉로 99 (번동),서울특별시 강북구 번동 448-2 북한산드림캐슬
KCOEFPO23N000000604,문화시설_교육_시니어,더이룸평생교육원,서울특별시,구로구,서울특별시 구로구 가마산로 282 (구로동),서울특별시 구로구 구로동 97-3 대림오피스밸리
KCOEFPO23N000000606,문화시설_교육_시니어,보보스평생교육원,서울특별시,강남구,서울특별시 강남구 테헤란로98길 16 (대치동),서울특별시 강남구 대치동 945-15 제주장학회관
KCOEFPO23N000000614,문화시설_교육_시니어,윌비스평생교육원,서울특별시,강남구,서울특별시 강남구 테헤란로19길 29 (역삼동),서울특별시 강남구 역삼동 637-9
KCOEFPO23N000000626,문화시설_교육_시니어,고려평생교육원,서울특별시,종로구,서울특별시 종로구 대학로 13 (효제동),서울특별시 종로구 효제동 308 SKY308빌딩
KCOEFPO23N000000630,문화시설_교육_시니어,광진평생교육원,서울특별시,광진구,서울특별시 광진구 자양로 312 (구의동),서울특별시 광진구 구의동 31-23 욱현빌딩
KCOEFPO23N000000645,문화시설_교육_시니어,명지평생교육원,서울특별시,서초구,서울특별시 서초구 서초대로50길 104 (서초동),서울특별시 서초구 서초동 1579-4 코랜드빌딩
KCOEFPO23N000000646,문화시설_교육_시니어,미듬평생교육원,서울특별시,서초구,서울특별시 서초구 강남대로 283 (서초동),서울특별시 서초구 서초동 1357-33 남성빌딩
KCOEFPO23N000000656,문화시설_교육_시니어,사당평생교육원,서울특별시,관악구,서울특별시 관악구 승방6길 31 (남현동),서울특별시 관악구 남현동 602-44
KCOEFPO23N000000667,문화시설_교육_시니어,아태평생교육원,서울특별시,송파구,서울특별시 송파구 송이로 101 (가락동),서울특별시 송파구 가락동 49-6
KCOEFPO23N000000680,문화시설_교육_시니어,정원평생교육원,서울특별시,종로구,서울특별시 종로구 종로35가길 17 (효제동),서울특별시 종로구 효제동 173-7
