ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOEFPO23N000000568,문화시설,문화시설_교육_시니어,주부영어평생교육원,11,서울특별시,11740,강동구,1174010100,,117404172257,서울특별시 강동구 양재대로145길 12 (명일동),서울특별시 강동구 명일동 312-54,"12 Yangjae-daero 145-gil, Gangdong-gu, Seoul",1174010100,,1174010100103120054019632,,05257,,37.55204463,127.1433928,문화정보원,-,20231231,20231231
KCOEFPO23N000000569,문화시설,문화시설_교육_시니어,천안총신평생교육원,44,충청남도,44131,천안시 동남구,4413111700,,441314547417,충청남도 천안시 동남구 순천향4길 12 (쌍용동),충청남도 천안시 동남구 쌍용동 558-3 서원빌딩,"12 Suncheonhyang 4-gil, Dongnam-gu, Cheonan-si, Chungcheongnam-do",4413111700,서원빌딩,4413111700105580003026183,,31151,,36.80071183,127.133025,문화정보원,-,20231231,20231231
KCOEFPO23N000000570,문화시설,문화시설_교육_시니어,청담사랑평생교육원,41,경기도,41285,고양시 일산동구,4128510500,,412853192094,경기도 고양시 일산동구 중앙로 1200 (마두동),경기도 고양시 일산동구 마두동 798-1 삼희골드프라자,"1200 Jungang-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do",4128510500,삼희골드프라자,4128510500107980001000652,,10414,,37.6538875,126.7771448,문화정보원,-,20231231,20231231
KCOEFPO23N000000571,문화시설,문화시설_교육_시니어,클루에듀평생교육원,47,경상북도,47113,포항시 북구,4711311800,,471133304030,경상북도 포항시 북구 우창로 70 (우현동),경상북도 포항시 북구 우현동 7-1,"70 Uchang-ro, Buk-gu, Pohang-si, Gyeongsangbuk-do",4711311800,,4711311800100070001109015,,37635,,36.05992211,129.3625239,문화정보원,-,20231231,20231231
KCOEFPO23N000000572,문화시설,문화시설_교육_시니어,키스터디평생교육원,11,서울특별시,11260,중랑구,1126010200,,112603005032,"서울특별시 중랑구 망우로 346 (상봉동, 한일써너스빌)",서울특별시 중랑구 상봉동 81-5 한일써너스빌,"346 Mangu-ro, Jungnang-gu, Seoul",1126010200,한일써너스빌,1126010200100810005016413,,02150,,37.59725581,127.0912331,문화정보원,-,20231231,20231231
KCOEFPO23N000000573,문화시설,문화시설_교육_시니어,파인에듀평생교육원,29,광주광역시,29140,서구,2914012000,,291403160024,광주광역시 서구 상무평화로 89 (치평동),광주광역시 서구 치평동 1254-4,"89 Sangmupyeonghwa-ro, Seo-gu, Gwangju",2914012000,,2914012000112540004027317,,61963,,35.14825217,126.8489159,문화정보원,-,20231231,20231231
KCOEFPO23N000000574,문화시설,문화시설_교육_시니어,한국법무평생교육원,44,충청남도,44131,천안시 동남구,4413110200,,441313249006,충청남도 천안시 동남구 대흥로 278 (성황동),충청남도 천안시 동남구 성황동 72-2 CNA,"278 Daeheung-ro, Dongnam-gu, Cheonan-si, Chungcheongnam-do",4413110200,CNA,4413110200100720002012088,,31128,,36.81254793,127.1492828,문화정보원,-,20231231,20231231
KCOEFPO23N000000575,문화시설,문화시설_교육_시니어,한국안전평생교육원,11,서울특별시,11545,금천구,1154510100,,115453116013,서울특별시 금천구 벚꽃로 278 (가산동),서울특별시 금천구 가산동 60-19 SJ테크노빌,"278 Beotkkot-ro, Geumcheon-gu, Seoul",1154510100,SJ테크노빌,1154510100100600019015803,,08511,,37.47939611,126.8845461,문화정보원,-,20231231,20231231
KCOEFPO23N000000576,문화시설,문화시설_교육_시니어,한국원격평생교육원,11,서울특별시,11530,구로구,1153010200,,115304148334,서울특별시 구로구 디지털로30길 28 (구로동),서울특별시 구로구 구로동 222-12 마리오타워,"28 Digital-ro 30-gil, Guro-gu, Seoul",1153010200,마리오타워,1153010200102220012026811,,08389,,37.48219001,126.89531,문화정보원,-,20231231,20231231
KCOEFPO23N000000577,문화시설,문화시설_교육_시니어,한국자격평생교육원,11,서울특별시,11740,강동구,1174010800,,117404172431,서울특별시 강동구 풍성로57길 24 (성내동),서울특별시 강동구 성내동 415 리딩타워,"24 Pungseong-ro 57-gil, Gangdong-gu, Seoul",1174010800,리딩타워,1174010800104150000004507,,05376,,37.5299844,127.1363882,문화정보원,-,20231231,20231231
